spc1,spc2,FGTED,EMED,same,Species Pair,sum Diameter,(EMED - FGTED),corrected FGTED
bat_1,human_2,1194.17679,1409.02,False,"bat,human",1128.01,214.84321,1351.4569821886334
bat_0,duck_0,1427.3625200000001,1672.69,False,"bat,duck",764.85,245.32747999999992,1569.0661772514954
bat_2,duck_1,1546.4560999999999,1714.36,False,"bat,duck",458.93,167.90390000000002,1675.0383408841385
bat_0,duck_2,1494.8310000000001,1717.58,False,"bat,duck",627.4,222.7489999999998,1630.6391987012432
bat_1,duck_1,1474.5731899999998,1715.66,False,"bat,duck",638.34,241.08681000000024,1610.8506234523506
human_2,duck_2,1497.5173000000002,1643.62,False,"duck,human",861.61,146.1026999999997,1643.3711541909092
bat_1,bat_2,381.707444,403.63,True,"bat,bat",766.31,21.922555999999986,523.4737230738552
duck_0,duck_2,331.51592,381.11,True,"duck,duck",550.37,49.59408000000002,464.020174196871
duck_0,duck_1,217.491684,257.54,True,"duck,duck",509.39,40.04831600000003,348.23823800487867
bat_1,duck_2,1473.44976,1723.91,False,"bat,duck",679.32,250.4602400000001,1611.4848936443432
bat_0,bat_2,274.89691,305.17,True,"bat,bat",714.39,30.273090000000025,414.4362541307552
human_1,bat_2,1106.31734,1214.83,False,"bat,human",767.07,108.51265999999987,1248.1162167348098
bat_0,human_0,1048.5647999999999,1157.2,False,"bat,human",621.13,108.63520000000017,1184.1040679983687
bat_2,duck_0,1477.0379199999998,1676.39,False,"bat,duck",637.36,199.35208000000034,1613.273319626383
bat_0,human_1,1076.3526,1207.08,False,"bat,human",894.56,130.7274,1223.619734359922
bat_1,human_1,1050.79258,1203.35,False,"bat,human",946.48,152.55741999999987,1200.2866493030222
human_2,duck_1,1502.4546799999998,1639.42,False,"duck,human",820.63,136.96532000000025,1646.5508339989167
bat_0,duck_1,1499.31251,1708.29,False,"bat,duck",586.42,208.97749,1633.3630085092507
human_1,duck_2,1505.46572,1659.62,False,"duck,human",680.08,154.15427999999997,1643.5334513052976
human_1,duck_1,1511.2534400000002,1656.04,False,"duck,human",639.1,144.78655999999978,1647.5634711133055
duck_1,duck_2,238.400315,258.45,True,"duck,duck",371.94,20.049684999999982,363.2514104546264
human_1,human_0,254.96373899999998,309.01,True,"human,human",673.81,54.046261000000015,392.76253960242315
human_0,duck_2,1510.2414199999998,1668.76,False,"duck,human",406.65,158.51858000000016,1636.581284943744
human_1,human_2,651.7489439999999,747.16,True,"human,human",1128.77,95.41105600000003,809.061733849588
bat_2,duck_2,1544.76068,1724.84,False,"bat,duck",499.91,180.07931999999983,1675.100621076131
bat_0,human_2,1217.0318,1404.8,False,"bat,human",1076.09,187.76819999999998,1372.0850572455336
bat_1,duck_0,1404.39888,1676.36,False,"bat,duck",816.77,271.96111999999994,1548.3294721945954
bat_1,human_0,1021.50127,1141.38,False,"bat,human",673.05,119.87873000000013,1159.2674729414687
human_0,duck_0,1421.6515100000001,1570.01,False,"duck,human",544.1,148.35848999999985,1553.8868334939968
human_1,duck_0,1420.61948,1566.98,False,"duck,human",817.53,146.36051999999995,1564.58266985555
human_0,duck_1,1515.1238,1660.33,False,"duck,human",365.67,145.20619999999985,1639.7059647517522
bat_2,human_0,1071.6943099999999,1154.58,False,"bat,human",493.64,82.88569000000007,1201.7653203732564
human_2,duck_0,1414.73848,1555.34,False,"duck,human",999.06,140.60151999999994,1566.4877927411615
bat_0,bat_1,248.341195,286.88,True,"bat,bat",893.8,38.538804999999996,395.57573169896745
human_2,human_0,815.411169,931.78,True,"human,human",855.34,116.368831,960.9960924880347
human_2,bat_2,1269.8084900000001,1418.15,False,"bat,human",948.6,148.34150999999997,1419.3934896204214
