idx,diameter
0,18669.0
1,19393.0
2,19010.0
3,20355.0
4,19311.0
5,18996.0
6,19173.0
7,18962.0
8,20493.0
9,19629.0
10,18992.0
11,18508.0
12,19355.0
13,18730.0
14,19555.0
15,19601.0
16,19520.0
17,20393.0
18,19275.0
19,18617.0
20,18056.0
21,18468.0
22,18439.0
23,20194.0
24,20011.0
25,19653.0
26,18508.0
27,19129.0
28,18042.0
29,19232.0
30,18952.0
31,19977.0
32,19096.0
33,19833.0
34,18990.0
35,19665.0
36,19563.0
37,19932.0
38,19145.0
39,18983.0
40,19376.0
41,20038.0
42,19276.0
43,19348.0
44,18826.0
45,19485.0
46,19547.0
47,19820.0
48,18623.0
49,19238.0
